text	typability
1.5 million visitors will flood Atlanta each day of the Olympics.	-0.554129656681705
2nd since so many people are out of the office until then.	0.504673779944162
A Hungarian neuro surgeon said that medical supplies are low.	-0.619168362900259
A bad thing has been turned into a good thing.	0.741246912391092
A bit behind on my emails.	-0.00802960884869897
A definitive basic law will be drawn up within a year.	-0.201278858493535
A detailed organizational chart is attached.	-0.0368887149109579
A gift isn't necessary.	-0.968543661111529
A growing number of US households are joining the middle class.	0.0081287223869202
A letter is being sent today.	0.725862952458653
A parliamentary committee will collect the public's comments.	-0.587492574481277
A report Thursday showed wholesale prices fell 0.1 percent in April.	-0.715522922023832
A state supreme court judge is expected to rule on the issue shortly.	-0.0761453090764688
A three-man inquiry team spent months investigating the allegations.	-0.271502522854102
About 10 Jordanian doctors arrived at the hospital a few days ago.	-0.380474835992032
About 20 were Americans, but there were also Dutch and Swiss.	-0.363217241506985
Add a Star Trek convention and sports memorabilia show to the mix.	-0.416698987409897
All our demographics indicate that is a family audience.	-0.168028950777525
Allocations will be based on WIC allocations methods.	-0.140691006602874
Also it appears no payment is required tomorrow.	0.0883709450971018
Also, regarding the cash flow from Canada.	-0.165883556800204
Although we are sending this e-mail to you, SportsLine.	-0.609911729300438
Am I getting a good package?	-0.14562169706304
Amy Felling should be your contact on the 19th.	-0.0997086971691043
Amy was let go last Friday here along with another guy.	0.2101475617361
Amy will be here to cover.	0.564269336954676
Amy will no longer be here so I will be the only one working on this.	0.685523982513946
An overwhelming majority do agree on the middle policy.	-0.17174500084214
And I can't turn my phone on.	-0.375800510460041
And if he's not, then he doesn't play.	-0.368415232088013
And leave my school alone.	0.37253965485755
And maybe for too long we've been underestimating ourselves.	-0.36493400884283
Andy Fastow will be on a leave of absence from the company.	-0.188735099086004
Another group of policemen was due to be deployed.	-0.23773107474558
Antonio Guterres sent a message of condolences to Smith's widow.	-0.808429004091289
Any other use is expressly prohibited.	-0.387020579742295
Anything exciting going on today?	-0.158832792113816
Apparently, BP is using the correct pricing.	-0.374363253972376
Appointing Jeff as CFO is one important step in that process.	-0.399360055667516
Are things better for you at home tonight?	0.509307553720319
Are we ready for this on Monday?	0.177845480858688
Are you back in town?	0.177025987565636
Are you being a baby?	0.171888457248452
Are you feeling better?	0.405727676269014
Are you getting all the information you need?	0.770291845372165
Are you going to apply?	0.271057623617399
Are you going to call?	0.490968072953633
